video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
246T9tf7kDw,GadgetIn,Racikan cerdas - Review vivo V27 5G Indonesia!,"Geer abis.

Link pembelian vivo V27 5G: https://tokopedia.link/lHFmHMmyqyb?utm_source=youtube&utm_medium=brand&utm_campaign=v27_series_270323_270323

Barang bekas review biasanya saya jual disini: https://invol.co/cl75vrb

Beberapa toko HP yang oke (kejual puluhan ribu unit + rating tinggi):
https://tokopedia.link/AKIOook8Qvb
https://tokopedia.link/anYzx6q8Qvb
https://tokopedia.link/iD40kiC8Qvb
https://tokopedia.link/DP7QokS8Qvb
https://tokopedia.link/pMWv2tU8Qvb

Instagram GadgetIn: https://www.instagram.com/gadgetins/ 
Twitter GadgetIn: https://twitter.com/DGadgetIn 
Facebook GadgetIn: https://www.facebook.com/DgadgetIn

Email untuk kerjasama: davidbrendi88@gmail.com",,2023-03-27T12:15:00Z,486146,17677,,2243,PT12M52S,hd,false
Pa5VvuztHw8,GadgetIn,Sedikit curhat sebelum anda beli HP baru di 2023...,"Kayak semua cowok.

Macbook Pro Kevin (titipan editor 🥲🙏🏻 ):
https://tokopedia.link/t3k0RBhylyb

Barang bekas review biasanya saya jual disini: https://invol.co/cl75vrb

Beberapa toko HP yang oke (kejual puluhan ribu unit + rating tinggi):
https://tokopedia.link/AKIOook8Qvb
https://tokopedia.link/anYzx6q8Qvb
https://tokopedia.link/iD40kiC8Qvb
https://tokopedia.link/DP7QokS8Qvb
https://tokopedia.link/pMWv2tU8Qvb

Instagram GadgetIn: https://www.instagram.com/gadgetins/ 
Twitter GadgetIn: https://twitter.com/DGadgetIn 
Facebook GadgetIn: https://www.facebook.com/DgadgetIn

Email untuk kerjasama: davidbrendi88@gmail.com",,2023-03-22T03:51:19Z,1848208,53994,,6858,PT8M44S,hd,true
wagbWL0AgZw,GadgetIn,Lawan sepadan Samsung Z Flip! Unboxing OPPO Find N2 Flip!,"Ketar ketir?

Tempat beli HP resmi aman + murah: https://tokopedia.link/sos03-david-yt

Barang bekas review biasanya saya jual disini: https://invol.co/cl75vrb

Beberapa toko HP yang oke (kejual puluhan ribu unit + rating tinggi):
https://tokopedia.link/AKIOook8Qvb
https://tokopedia.link/anYzx6q8Qvb
https://tokopedia.link/iD40kiC8Qvb
https://tokopedia.link/DP7QokS8Qvb
https://tokopedia.link/pMWv2tU8Qvb

Instagram GadgetIn: https://www.instagram.com/gadgetins/ 
Twitter GadgetIn: https://twitter.com/DGadgetIn 
Facebook GadgetIn: https://www.facebook.com/DgadgetIn

Email untuk kerjasama: davidbrendi88@gmail.com",,2023-03-20T03:00:32Z,1012904,21667,,1926,PT13M13S,hd,true
dfZN9JKi65Q,GadgetIn,SELAMAT DATANG KEMBALI!!!!! - Unboxing OnePlus 11 5G!,"Full senyum.

Jangan lewatkan edisi terbatas Gift Pack Kapal Api Special disini:

https://tokopedia.com/kapalapistore/limited-edition-giftpack-kapal-api

Barang bekas review biasanya saya jual disini: https://invol.co/cl75vrb

Beberapa toko HP yang oke (kejual puluhan ribu unit + rating tinggi):
https://tokopedia.link/AKIOook8Qvb
https://tokopedia.link/anYzx6q8Qvb
https://tokopedia.link/iD40kiC8Qvb
https://tokopedia.link/DP7QokS8Qvb
https://tokopedia.link/pMWv2tU8Qvb

Instagram GadgetIn: https://www.instagram.com/gadgetins/ 
Twitter GadgetIn: https://twitter.com/DGadgetIn 
Facebook GadgetIn: https://www.facebook.com/DgadgetIn

Email untuk kerjasama: davidbrendi88@gmail.com",,2023-03-19T01:39:31Z,910592,22910,,2143,PT17M58S,hd,true
z76h0Rzo8Rc,GadgetIn,A Series yang saya banggakan ❤️ - Samsung Galaxy A54 5G Indonesia!,"CLBK.

Info lebih lanjut soal A54 5G: https://www.samsung.com/id/smartphones/galaxy-a/galaxy-a54-5g-green-256gb-sm-a546elgdxid/

Link pembelian A54 5G: https://omgrefer.com/L0sAp
Link pembelian A34 5G: https://omgrefer.com/Q9Y8c

Barang bekas review biasanya saya jual disini: https://invol.co/cl75vrb

Beberapa toko HP yang oke (kejual puluhan ribu unit + rating tinggi):
https://tokopedia.link/AKIOook8Qvb
https://tokopedia.link/anYzx6q8Qvb
https://tokopedia.link/iD40kiC8Qvb
https://tokopedia.link/DP7QokS8Qvb
https://tokopedia.link/pMWv2tU8Qvb

Instagram GadgetIn: https://www.instagram.com/gadgetins/ 
Twitter GadgetIn: https://twitter.com/DGadgetIn 
Facebook GadgetIn: https://www.facebook.com/DgadgetIn

Email untuk kerjasama: davidbrendi88@gmail.com",,2023-03-16T01:00:33Z,2013243,54117,,7141,PT14M8S,hd,true
uZ1xD7UXeB0,GadgetIn,"Pembuktian sang ""juara"" - Review realme C55 Indonesia","Ketika semuanya jadi juara....

Link pembelian realme C55: https://tokopedia.link/WuDH4lfQ9xb

Note: pas bandingin touch response sama “realme 10”, saya salah tulis. Yang bener realme 10 Pro+.

Saya udh bandingin sama realme 10 beneran, dan hasilnya tetep cepetan realme 10.

Barang bekas review biasanya saya jual disini: https://invol.co/cl75vrb

Beberapa toko HP yang oke (kejual puluhan ribu unit + rating tinggi):
https://tokopedia.link/AKIOook8Qvb
https://tokopedia.link/anYzx6q8Qvb
https://tokopedia.link/iD40kiC8Qvb
https://tokopedia.link/DP7QokS8Qvb
https://tokopedia.link/pMWv2tU8Qvb

Instagram GadgetIn: https://www.instagram.com/gadgetins/ 
Twitter GadgetIn: https://twitter.com/DGadgetIn 
Facebook GadgetIn: https://www.facebook.com/DgadgetIn

Email untuk kerjasama: davidbrendi88@gmail.com",,2023-03-14T09:27:06Z,2566429,54865,,5877,PT12M28S,hd,true
XOaYLtSRm3s,GadgetIn,STOP BUNGKUK! - Nyobain 5 Barang Aneh yang dijual online Episode 28!,"Jangan nunduk mulu.

Nikmati sensasi Kapal Api Signature Original Black Coffee dengan gula aren asli disini: https://tokopedia.link/a2CK4sqLixb

Barang 1: https://tokopedia.link/jha58X8S5xb
Barang 2: https://tokopedia.link/a2KsUCeT5xb
Barang 3: https://tokopedia.link/iPJcLAgT5xb
Barang 4: https://tokopedia.link/HnxcyFjT5xb
Barang 5: https://www.audio-technica.com/en-eu/at-sb2022

Barang bekas review biasanya saya jual disini: https://invol.co/cl75vrb

Beberapa toko HP yang oke (kejual puluhan ribu unit + rating tinggi):
https://tokopedia.link/AKIOook8Qvb
https://tokopedia.link/anYzx6q8Qvb
https://tokopedia.link/iD40kiC8Qvb
https://tokopedia.link/DP7QokS8Qvb
https://tokopedia.link/pMWv2tU8Qvb

Instagram GadgetIn: https://www.instagram.com/gadgetins/ 
Twitter GadgetIn: https://twitter.com/DGadgetIn 
Facebook GadgetIn: https://www.facebook.com/DgadgetIn

Email untuk kerjasama: davidbrendi88@gmail.com",,2023-03-12T02:02:00Z,1823234,48488,,2771,PT27M40S,hd,true
U7cnwXBGi94,GadgetIn,Laptop 13 JUTA RASA 20 JUTA++🔥 - Review Axioo Pongo,"Laptop monyet.

Tempat belanja online banyak diskon: https://tokopedia.link/kbgp03-yt-gadgetin

Axioo Pongo 3: https://tokopedia.link/xAeonL1q3xb
Axioo Pongo 5: https://tokopedia.link/6t0MBk4q3xb
Axioo Pongo 7: https://tokopedia.link/kMjPMF5q3xb

Barang bekas review biasanya saya jual disini: https://invol.co/cl75vrb

Beberapa toko HP yang oke (kejual puluhan ribu unit + rating tinggi):
https://tokopedia.link/AKIOook8Qvb
https://tokopedia.link/anYzx6q8Qvb
https://tokopedia.link/iD40kiC8Qvb
https://tokopedia.link/DP7QokS8Qvb
https://tokopedia.link/pMWv2tU8Qvb

Instagram GadgetIn: https://www.instagram.com/gadgetins/ 
Twitter GadgetIn: https://twitter.com/DGadgetIn 
Facebook GadgetIn: https://www.facebook.com/DgadgetIn

Email untuk kerjasama: davidbrendi88@gmail.com",,2023-03-10T03:00:10Z,948429,29957,,3673,PT11M45S,hd,true
ojC7MHIP3j0,GadgetIn,HP murah Xiaomi yang MENANG BANYAK! Tapi ada syaratnya... Redmi 12C Indonesia.,"Tergantung.

Link pembelian Redmi 12C: https://tokopedia.link/9AqYmN8q3xb

Barang bekas review biasanya saya jual disini: https://invol.co/cl75vrb

Beberapa toko HP yang oke (kejual puluhan ribu unit + rating tinggi):
https://tokopedia.link/AKIOook8Qvb
https://tokopedia.link/anYzx6q8Qvb
https://tokopedia.link/iD40kiC8Qvb
https://tokopedia.link/DP7QokS8Qvb
https://tokopedia.link/pMWv2tU8Qvb

Instagram GadgetIn: https://www.instagram.com/gadgetins/ 
Twitter GadgetIn: https://twitter.com/DGadgetIn 
Facebook GadgetIn: https://www.facebook.com/DgadgetIn

Email untuk kerjasama: davidbrendi88@gmail.com",,2023-03-09T05:00:23Z,946199,23642,,2635,PT9M58S,hd,true
MW-WdQG9v_4,GadgetIn,Saya beli HP murah yang laris manis di toko online...,"Jadi buyer bijak.

Barang bekas review biasanya saya jual disini: https://invol.co/cl75vrb

Beberapa toko HP yang oke (kejual puluhan ribu unit + rating tinggi):
https://tokopedia.link/AKIOook8Qvb
https://tokopedia.link/anYzx6q8Qvb
https://tokopedia.link/iD40kiC8Qvb
https://tokopedia.link/DP7QokS8Qvb
https://tokopedia.link/pMWv2tU8Qvb

Instagram GadgetIn: https://www.instagram.com/gadgetins/ 
Twitter GadgetIn: https://twitter.com/DGadgetIn 
Facebook GadgetIn: https://www.facebook.com/DgadgetIn

Email untuk kerjasama: davidbrendi88@gmail.com",,2023-03-05T01:05:41Z,1808983,46917,,5201,PT11M13S,hd,true
